<http://www.wikidata.org/entity/Q6199>	anarchism
<http://www.wikidata.org/entity/Q17736>	axiom
<http://www.wikidata.org/entity/Q9887>	Α
<http://www.wikidata.org/entity/Q297425>	Alvin Toffler
<http://www.wikidata.org/entity/Q781>	Antigua and Barbuda
<http://www.wikidata.org/entity/Q238339>	Azincourt
<http://www.wikidata.org/entity/Q60045>	Albert Speer
<http://www.wikidata.org/entity/Q25400>	Asteraceae
<http://www.wikidata.org/entity/Q145794>	Apiaceae
<http://www.wikidata.org/entity/Q178999>	axon
<http://www.wikidata.org/entity/Q26978>	Aramaic alphabet
<http://www.wikidata.org/entity/Q213373>	ataxia
<http://www.wikidata.org/entity/Q7259>	Ada Lovelace
<http://www.wikidata.org/entity/Q1286>	Alps
<http://www.wikidata.org/entity/Q34670>	Albert Camus
<http://www.wikidata.org/entity/Q35064>	Agatha Christie
<http://www.wikidata.org/entity/Q320372>	The Plague
<http://www.wikidata.org/entity/Q120812>	absolute value
<http://www.wikidata.org/entity/Q174948>	analog signal
<http://www.wikidata.org/entity/Q170534>	Hercule Poirot
<http://www.wikidata.org/entity/Q193531>	Miss Marple
<http://www.wikidata.org/entity/Q118>	April
<http://www.wikidata.org/entity/Q122>	August
<http://www.wikidata.org/entity/Q51676>	Aaron
<http://www.wikidata.org/entity/Q156>	alcohol
<http://www.wikidata.org/entity/Q6711>	Allen Ginsberg
<http://www.wikidata.org/entity/Q131674>	Anatoly Karpov
<http://www.wikidata.org/entity/Q5386>	auto racing
<http://www.wikidata.org/entity/Q192424>	anarcho-capitalism
<http://www.wikidata.org/entity/Q43353>	Aristophanes
<http://www.wikidata.org/entity/Q49325>	Albert Schweitzer
<http://www.wikidata.org/entity/Q203411>	Austrian School
<http://www.wikidata.org/entity/Q164655>	abscess
<http://www.wikidata.org/entity/Q25319>	Aarhus
<http://www.wikidata.org/entity/Q455595>	amateur
<http://www.wikidata.org/entity/Q185777>	Alexis Carrel
<http://www.wikidata.org/entity/Q1033140>	All Souls' Day
<http://www.wikidata.org/entity/Q42443>	Anatole France
<http://www.wikidata.org/entity/Q47484>	André Gide
<http://www.wikidata.org/entity/Q39918>	Prunus dulcis
<http://www.wikidata.org/entity/Q22649>	Antisemitism
<http://www.wikidata.org/entity/Q8011>	Avicenna
<http://www.wikidata.org/entity/Q217602>	analysis
<http://www.wikidata.org/entity/Q183755>	amplitude modulation
<http://www.wikidata.org/entity/Q187241>	Augustin-Jean Fresnel
<http://www.wikidata.org/entity/Q103163>	abbot
<http://www.wikidata.org/entity/Q106565>	Ardipithecus
<http://www.wikidata.org/entity/Q5112>	Adelaide
<http://www.wikidata.org/entity/Q168817>	algebraic number
<http://www.wikidata.org/entity/Q79838>	accordion
<http://www.wikidata.org/entity/Q11660>	artificial intelligence
<http://www.wikidata.org/entity/Q204100>	ancient philosophy
<http://www.wikidata.org/entity/Q42458>	Anaximander
<http://www.wikidata.org/entity/Q42973>	architect
<http://www.wikidata.org/entity/Q102786>	abbreviation
<http://www.wikidata.org/entity/Q35500>	Aphrodite
<http://www.wikidata.org/entity/Q172684>	Aleister Crowley
<http://www.wikidata.org/entity/Q623282>	afterlife
<http://www.wikidata.org/entity/Q181505>	astrometry
<http://www.wikidata.org/entity/Q37122>	Athena
<http://www.wikidata.org/entity/Q37756>	alloy
<http://www.wikidata.org/entity/Q11352>	angle
<http://www.wikidata.org/entity/Q82811>	acoustics
<http://www.wikidata.org/entity/Q26383>	atomic physics
<http://www.wikidata.org/entity/Q14759>	American Sign Language
<http://www.wikidata.org/entity/Q224989>	alternate history
<http://www.wikidata.org/entity/Q53860>	atomic orbital
<http://www.wikidata.org/entity/Q8066>	amino acid
<http://www.wikidata.org/entity/Q7251>	Alan Turing
<http://www.wikidata.org/entity/Q11500>	area
<http://www.wikidata.org/entity/Q1811>	astronomical unit
<http://www.wikidata.org/entity/Q483501>	artist
<http://www.wikidata.org/entity/Q6423963>	Anglicanism
<http://www.wikidata.org/entity/Q1524>	Athens
<http://www.wikidata.org/entity/Q25228>	Anguilla
<http://www.wikidata.org/entity/Q133888>	Ashmore and Cartier Islands
<http://www.wikidata.org/entity/Q8589>	Ashoka
<http://www.wikidata.org/entity/Q154755>	Ada
<http://www.wikidata.org/entity/Q28028>	Alfonso Cuarón
<http://www.wikidata.org/entity/Q83922>	Arianism
<http://www.wikidata.org/entity/Q1429>	Antoninus Pius
<http://www.wikidata.org/entity/Q190746>	Advanced Encryption Standard
<http://www.wikidata.org/entity/Q3462602>	argot
<http://www.wikidata.org/entity/Q179856>	alpha decay
<http://www.wikidata.org/entity/Q1405>	Augustus
<http://www.wikidata.org/entity/Q182814>	Antarctic Treaty System
<http://www.wikidata.org/entity/Q470273>	Ames
<http://www.wikidata.org/entity/Q255698>	Abensberg
<http://www.wikidata.org/entity/Q230731>	aromatic hydrocarbon
<http://www.wikidata.org/entity/Q160742>	abbey
<http://www.wikidata.org/entity/Q83197>	antimatter
<http://www.wikidata.org/entity/Q461371>	Casa Batlló
<http://www.wikidata.org/entity/Q212867>	Park Güell
<http://www.wikidata.org/entity/Q207870>	Casa Milà
<http://www.wikidata.org/entity/Q182717>	antiparticle (symmetric correspondence)
<http://www.wikidata.org/entity/Q177251>	associativity
<http://www.wikidata.org/entity/Q18981>	Apple I
<http://www.wikidata.org/entity/Q14326>	Apatosaurus
<http://www.wikidata.org/entity/Q14400>	Allosaurus
<http://www.wikidata.org/entity/Q37116>	AK-47
<http://www.wikidata.org/entity/Q5456>	Andes
<http://www.wikidata.org/entity/Q168432>	anchor
<http://www.wikidata.org/entity/Q122981>	anagram
<http://www.wikidata.org/entity/Q26390>	Anadyr River
<http://www.wikidata.org/entity/Q675>	André-Marie Ampère
<http://www.wikidata.org/entity/Q4087>	ammonia
<http://www.wikidata.org/entity/Q79058>	amethyst
<http://www.wikidata.org/entity/Q40751>	Albertosaurus
<http://www.wikidata.org/entity/Q165436>	assembly language
<http://www.wikidata.org/entity/Q131409>	ambrosia
<http://www.wikidata.org/entity/Q43689>	Ambrose
<http://www.wikidata.org/entity/Q25381>	amber
<http://www.wikidata.org/entity/Q37726>	army
<http://www.wikidata.org/entity/Q6184764>	Alligatoridae
<http://www.wikidata.org/entity/Q25239>	Alnus
<http://www.wikidata.org/entity/Q220783>	arachnophobia
<http://www.wikidata.org/entity/Q143447>	alabaster
<http://www.wikidata.org/entity/Q235901>	Ahab
<http://www.wikidata.org/entity/Q13080>	Algol
<http://www.wikidata.org/entity/Q210211>	Amazing Grace
<http://www.wikidata.org/entity/Q27585>	AOL
<http://www.wikidata.org/entity/Q159791>	Anno Domini
<http://www.wikidata.org/entity/Q154332>	Alcuin
<http://www.wikidata.org/entity/Q167198>	amine
<http://www.wikidata.org/entity/Q81182>	absolute zero
<http://www.wikidata.org/entity/Q182453>	adiabatic process
<http://www.wikidata.org/entity/Q188777>	amide
<http://www.wikidata.org/entity/Q43004>	animism
<http://www.wikidata.org/entity/Q1340>	Antonio Vivaldi
<http://www.wikidata.org/entity/Q1675>	Aare
<http://www.wikidata.org/entity/Q9181>	Abraham
<http://www.wikidata.org/entity/Q205372>	Absalom
<http://www.wikidata.org/entity/Q192268>	Abydos
<http://www.wikidata.org/entity/Q81398>	Acapulco
<http://www.wikidata.org/entity/Q92742>	Alan Kay
<http://www.wikidata.org/entity/Q296187>	APL
<http://www.wikidata.org/entity/Q188436>	ALGOL
<http://www.wikidata.org/entity/Q213970>	AWK
<http://www.wikidata.org/entity/Q178182>	Asgard
<http://www.wikidata.org/entity/Q46611>	Apollo space program
<http://www.wikidata.org/entity/Q132990>	Alamanni
<http://www.wikidata.org/entity/Q160627>	Alfred Russel Wallace
<http://www.wikidata.org/entity/Q216082>	Australian Labor Party
<http://www.wikidata.org/entity/Q156041>	Albert the Bear
<http://www.wikidata.org/entity/Q1017>	Aachen
<http://www.wikidata.org/entity/Q123314>	agate
<http://www.wikidata.org/entity/Q18216>	aspirin
<http://www.wikidata.org/entity/Q114749>	Ahmed I
<http://www.wikidata.org/entity/Q199660>	Ahmed II
<http://www.wikidata.org/entity/Q199482>	Ahmed III
<http://www.wikidata.org/entity/Q101828>	Ainu people
<http://www.wikidata.org/entity/Q131668>	Acropolis
<http://www.wikidata.org/entity/Q121713>	acupuncture
<http://www.wikidata.org/entity/Q82732>	Aeneas
<http://www.wikidata.org/entity/Q156344>	Amaranthus
<http://www.wikidata.org/entity/Q128176>	Agamemnon
<http://www.wikidata.org/entity/Q271850>	Agesilaus II
<http://www.wikidata.org/entity/Q154732>	Agrippina the Younger
<http://www.wikidata.org/entity/Q46798>	Ahmed Shahe Durrani
<http://www.wikidata.org/entity/Q4461035>	Akkadian empire
<http://www.wikidata.org/entity/Q172725>	Ajax the Great
<http://www.wikidata.org/entity/Q169527>	Ajax
<http://www.wikidata.org/entity/Q102371>	Alaric I
<http://www.wikidata.org/entity/Q110884>	Alaric II
<http://www.wikidata.org/entity/Q60059>	Albertus Magnus
<http://www.wikidata.org/entity/Q204397>	Afonso de Albuquerque
<http://www.wikidata.org/entity/Q212872>	Alcaeus of Mytilene
<http://www.wikidata.org/entity/Q190543>	Alkmene
<http://www.wikidata.org/entity/Q120180>	Alexander III of Russia
<http://www.wikidata.org/entity/Q237889>	Alexander II of Scotland
<http://www.wikidata.org/entity/Q297547>	Alexander I of Serbia
<http://www.wikidata.org/entity/Q211109>	Alexander III of Scotland
<http://www.wikidata.org/entity/Q1769>	Alexander Severus
<http://www.wikidata.org/entity/Q207281>	Alexander I
<http://www.wikidata.org/entity/Q41600>	Alexios I Komnenos
<http://www.wikidata.org/entity/Q41849>	Alexios II Komnenos
<http://www.wikidata.org/entity/Q37065>	Alexios III Angelos
<http://www.wikidata.org/entity/Q37076>	Alexios V Doukas
<http://www.wikidata.org/entity/Q11817>	Andrew Jackson
<http://www.wikidata.org/entity/Q8612>	Andrew Johnson
<http://www.wikidata.org/entity/Q34474>	Aleksandr Solzhenitsyn
<http://www.wikidata.org/entity/Q36405>	Aberdeen
<http://www.wikidata.org/entity/Q172748>	antipope
<http://www.wikidata.org/entity/Q188989>	aquaculture
<http://www.wikidata.org/entity/Q83476>	Alfred the Great
<http://www.wikidata.org/entity/Q3561>	Algiers
<http://www.wikidata.org/entity/Q11104>	Ibn al-Haytham
<http://www.wikidata.org/entity/Q75613>	Almoravid dynasty
<http://www.wikidata.org/entity/Q127134>	Aloe
<http://www.wikidata.org/entity/Q587697>	Afonso I of Portugal
<http://www.wikidata.org/entity/Q296463>	Afonso II of Portugal
<http://www.wikidata.org/entity/Q295850>	Afonso III of Portugal
<http://www.wikidata.org/entity/Q272903>	Afonso IV of Portugal
<http://www.wikidata.org/entity/Q299119>	Afonso V of Portugal
<http://www.wikidata.org/entity/Q32347>	Alfonso XII of Spain
<http://www.wikidata.org/entity/Q18363>	Alfonso XIII of Spain
<http://www.wikidata.org/entity/Q312304>	Alfonso V of Aragon
<http://www.wikidata.org/entity/Q134154>	Amazons
<http://www.wikidata.org/entity/Q188774>	ambergris
<http://www.wikidata.org/entity/Q3783>	Amazon
<http://www.wikidata.org/entity/Q334923>	Abu Bakr
<http://www.wikidata.org/entity/Q174677>	Book of Amos
<http://www.wikidata.org/entity/Q325026>	Anacharsis
<http://www.wikidata.org/entity/Q28988>	Ananda
<http://www.wikidata.org/entity/Q83041>	Anaxagoras
<http://www.wikidata.org/entity/Q80612>	Anaximenes of Miletus
<http://www.wikidata.org/entity/Q206741>	Ancus Marcius
<http://www.wikidata.org/entity/Q186233>	Andaman Islands
<http://www.wikidata.org/entity/Q271104>	Andrew II of Hungary
<http://www.wikidata.org/entity/Q37063>	Andronikos III Palaiologos
<http://www.wikidata.org/entity/Q37067>	Andronikos II Palaiologos
<http://www.wikidata.org/entity/Q41830>	Andronikos I Komnenos
<http://www.wikidata.org/entity/Q172198>	Ammianus Marcellinus
<http://www.wikidata.org/entity/Q182252>	Apollo 13
<http://www.wikidata.org/entity/Q188486>	Apollo 7
<http://www.wikidata.org/entity/Q203651>	Apollo 9
<http://www.wikidata.org/entity/Q170990>	arthritis
<http://www.wikidata.org/entity/Q133145>	acetylene
<http://www.wikidata.org/entity/Q176471>	Arabic numerals
<http://www.wikidata.org/entity/Q170512>	Apuleius
<http://www.wikidata.org/entity/Q223797>	Alexander Selkirk
<http://www.wikidata.org/entity/Q81292>	acre
<http://www.wikidata.org/entity/Q186929>	ATP
<http://www.wikidata.org/entity/Q80863>	adenosine triphosphate
<http://www.wikidata.org/entity/Q204927>	Ægir
<http://www.wikidata.org/entity/Q12187>	antibiotic
<http://www.wikidata.org/entity/Q2685>	Arnold Schwarzenegger
<http://www.wikidata.org/entity/Q9381>	Adam Smith
<http://www.wikidata.org/entity/Q39607>	Antoine Laurent Lavoisier
<http://www.wikidata.org/entity/Q9570>	Amitabh Bachchan
<http://www.wikidata.org/entity/Q146863>	allophone
<http://www.wikidata.org/entity/Q62155>	affix
<http://www.wikidata.org/entity/Q18535>	allegory
<http://www.wikidata.org/entity/Q81915>	allotropy
<http://www.wikidata.org/entity/Q8814>	Augustin-Louis Cauchy
<http://www.wikidata.org/entity/Q8739>	Archimedes
<http://www.wikidata.org/entity/Q188504>	alternative medicine
<http://www.wikidata.org/entity/Q490724>	Astoria
<http://www.wikidata.org/entity/Q7841>	Alfred Jarry
<http://www.wikidata.org/entity/Q173782>	Art Deco
<http://www.wikidata.org/entity/Q193097>	ASCII art
<http://www.wikidata.org/entity/Q7976>	American English
<http://www.wikidata.org/entity/Q216818>	adaptive radiation
<http://www.wikidata.org/entity/Q80726>	allele
<http://www.wikidata.org/entity/Q244150>	ampicillin
<http://www.wikidata.org/entity/Q380775>	antibiotic resistance
<http://www.wikidata.org/entity/Q103537>	antigen
<http://www.wikidata.org/entity/Q186380>	autosome
<http://www.wikidata.org/entity/Q34490>	al-Qaeda
<http://www.wikidata.org/entity/Q680>	Alessandro Volta
<http://www.wikidata.org/entity/Q161582>	Andromeda
<http://www.wikidata.org/entity/Q10481>	Antlia
<http://www.wikidata.org/entity/Q9253>	Ara
<http://www.wikidata.org/entity/Q1612>	Arkansas
<http://www.wikidata.org/entity/Q10506>	Apus
<http://www.wikidata.org/entity/Q63049>	Abadan
<http://www.wikidata.org/entity/Q37064>	Alexander Fleming
<http://www.wikidata.org/entity/Q484265>	Andrew Carnegie
<http://www.wikidata.org/entity/Q51606>	approximant consonant
<http://www.wikidata.org/entity/Q46970>	airline
<http://www.wikidata.org/entity/Q3258>	Australian Capital Territory
<http://www.wikidata.org/entity/Q244803>	Ally McBeal
<http://www.wikidata.org/entity/Q11463>	Adobe Inc.
<http://www.wikidata.org/entity/Q124313>	apparent magnitude
<http://www.wikidata.org/entity/Q159653>	absolute magnitude
<http://www.wikidata.org/entity/Q194082>	Apollo 1
<http://www.wikidata.org/entity/Q191746>	Apollo 10
<http://www.wikidata.org/entity/Q188433>	Apollo 12
<http://www.wikidata.org/entity/Q178871>	Apollo 14
<http://www.wikidata.org/entity/Q194068>	Apollo 15
<http://www.wikidata.org/entity/Q188168>	Apollo 16
<http://www.wikidata.org/entity/Q180971>	Apollo 17
<http://www.wikidata.org/entity/Q192769>	American Revolution
<http://www.wikidata.org/entity/Q12176>	Alpha Centauri
<http://www.wikidata.org/entity/Q100047>	Amiga
<http://www.wikidata.org/entity/Q42188>	Abel Tasman
<http://www.wikidata.org/entity/Q180969>	algebraic geometry
<http://www.wikidata.org/entity/Q16559>	Austin
<http://www.wikidata.org/entity/Q7341>	Auschwitz concentration camp
<http://www.wikidata.org/entity/Q108429>	archery
<http://www.wikidata.org/entity/Q82840>	Alvar Aalto
<http://www.wikidata.org/entity/Q55828>	Antarctic Circumpolar Current
<http://www.wikidata.org/entity/Q243757>	A. J. Ayer
<http://www.wikidata.org/entity/Q40939>	Aeschylus
<http://www.wikidata.org/entity/Q239574>	Amber Road
<http://www.wikidata.org/entity/Q184433>	Andrew Wiles
<http://www.wikidata.org/entity/Q44520>	Anne Brontë
<http://www.wikidata.org/entity/Q8018>	Augustine of Hippo
<http://www.wikidata.org/entity/Q222749>	acting
<http://www.wikidata.org/entity/Q193235>	Delian League
<http://www.wikidata.org/entity/Q40901>	Ares
<http://www.wikidata.org/entity/Q77141>	Alexander Grothendieck
<http://www.wikidata.org/entity/Q18231>	Alcoholics Anonymous
<http://www.wikidata.org/entity/Q186152>	array data structure
<http://www.wikidata.org/entity/Q170601>	Advance Australia Fair
<http://www.wikidata.org/entity/Q47674>	Amerigo Vespucci
<http://www.wikidata.org/entity/Q153920>	Aristide Maillol
<http://www.wikidata.org/entity/Q5547>	Antonio Canova
<http://www.wikidata.org/entity/Q30755>	Auguste Rodin
<http://www.wikidata.org/entity/Q485172>	Ann Arbor
<http://www.wikidata.org/entity/Q131013>	Acropolis of Athens
<http://www.wikidata.org/entity/Q159481>	Adam Weishaupt
<http://www.wikidata.org/entity/Q8421>	aeronautics
<http://www.wikidata.org/entity/Q55965>	Auguste and Louis Lumière
<http://www.wikidata.org/entity/Q40309>	Acts of the Apostles
<http://www.wikidata.org/entity/Q41137>	Assyria
<http://www.wikidata.org/entity/Q2836>	aphasia
<http://www.wikidata.org/entity/Q101004>	aorta
<http://www.wikidata.org/entity/Q42490>	Asterix
<http://www.wikidata.org/entity/Q192596>	aliphatic compound
<http://www.wikidata.org/entity/Q34362>	astrology
<http://www.wikidata.org/entity/Q35986>	aesthetics
<http://www.wikidata.org/entity/Q131316>	Ark of the Covenant
<http://www.wikidata.org/entity/Q104238>	Angles
<http://www.wikidata.org/entity/Q11617>	Aaliyah
<http://www.wikidata.org/entity/Q76989>	Anton Drexler
<http://www.wikidata.org/entity/Q207332>	All Quiet on the Western Front
<http://www.wikidata.org/entity/Q49085>	African American
<http://www.wikidata.org/entity/Q14196>	Afrikaans
<http://www.wikidata.org/entity/Q286874>	ABC
<http://www.wikidata.org/entity/Q9617>	Arsenal F.C.
<http://www.wikidata.org/entity/Q200029>	Ahmad Shah Massoud
<http://www.wikidata.org/entity/Q25373>	Atlantis
<http://www.wikidata.org/entity/Q4184>	autobiography
<http://www.wikidata.org/entity/Q159369>	Arcadius
<http://www.wikidata.org/entity/Q35323>	Arab
<http://www.wikidata.org/entity/Q47867>	armadillo
<http://www.wikidata.org/entity/Q103854>	Aage Niels Bohr
<http://www.wikidata.org/entity/Q134787>	analytic geometry
<http://www.wikidata.org/entity/Q8196>	Arabic alphabet
<http://www.wikidata.org/entity/Q82738>	Vulpes lagopus
<http://www.wikidata.org/entity/Q8785>	Armenian
<http://www.wikidata.org/entity/Q17205>	aircraft carrier
<http://www.wikidata.org/entity/Q193030>	Apicomplexa
<http://www.wikidata.org/entity/Q189183>	ad hominem
<http://www.wikidata.org/entity/Q207922>	Atari
<http://www.wikidata.org/entity/Q294599>	Antipope John XXIII
<http://www.wikidata.org/entity/Q51088>	Antonio Salieri
<http://www.wikidata.org/entity/Q173235>	analgesic
<http://www.wikidata.org/entity/Q146078>	accusative case
<http://www.wikidata.org/entity/Q193598>	DL-ascorbic acid
<http://www.wikidata.org/entity/Q81888>	A.F.C. Ajax
<http://www.wikidata.org/entity/Q215022>	Arthur Eddington
<http://www.wikidata.org/entity/Q191264>	AZ Alkmaar
<http://www.wikidata.org/entity/Q712294>	adrenal gland
<http://www.wikidata.org/entity/Q28602>	Aramaic
<http://www.wikidata.org/entity/Q19577>	actinide
<http://www.wikidata.org/entity/Q80596>	Arthur Miller
<http://www.wikidata.org/entity/Q177397>	Area 51
<http://www.wikidata.org/entity/Q156986>	ablative case
<http://www.wikidata.org/entity/Q70702>	alkaloid
<http://www.wikidata.org/entity/Q215168>	Adventism
<http://www.wikidata.org/entity/Q29282>	Archbishop of Canterbury
<http://www.wikidata.org/entity/Q193770>	Anointing of the Sick
<http://www.wikidata.org/entity/Q2739>	A.S. Roma
<http://www.wikidata.org/entity/Q79460>	antibody
<http://www.wikidata.org/entity/Q183087>	Alessandro Scarlatti
<http://www.wikidata.org/entity/Q27074>	Aston Martin
<http://www.wikidata.org/entity/Q1159>	Andhra Pradesh
<http://www.wikidata.org/entity/Q338808>	Accelerated Graphics Port
<http://www.wikidata.org/entity/Q3951>	Aalen
<http://www.wikidata.org/entity/Q70530>	Alois Alzheimer
<http://www.wikidata.org/entity/Q32396>	American Airlines
<http://www.wikidata.org/entity/Q76560>	antidepressant
<http://www.wikidata.org/entity/Q181232>	anode
<http://www.wikidata.org/entity/Q131790>	adhesive
<http://www.wikidata.org/entity/Q65932>	Anthony Hopkins
<http://www.wikidata.org/entity/Q128896>	Advanced Micro Devices
<http://www.wikidata.org/entity/Q5580>	Albrecht Dürer
<http://www.wikidata.org/entity/Q50776>	Australian rules football
<http://www.wikidata.org/entity/Q78475>	Alban Berg
<http://www.wikidata.org/entity/Q2346>	analytical chemistry
<http://www.wikidata.org/entity/Q185298>	a cappella
<http://www.wikidata.org/entity/Q11959>	Alicante
<http://www.wikidata.org/entity/Q485547>	Aurangzeb
<http://www.wikidata.org/entity/Q63759>	analog computer
<http://www.wikidata.org/entity/Q157194>	Alberto Giacometti
<http://www.wikidata.org/entity/Q153746>	Albrecht Altdorfer
<http://www.wikidata.org/entity/Q11376>	acceleration
<http://www.wikidata.org/entity/Q5685>	Anton Chekhov
<http://www.wikidata.org/entity/Q14599311>	apoptotic process
<http://www.wikidata.org/entity/Q8398>	anal sex
<http://www.wikidata.org/entity/Q14274>	Aarau
<http://www.wikidata.org/entity/Q11972>	Aargau
<http://www.wikidata.org/entity/Q134110>	Aba
