<http://www.yso.fi/onto/yso/p27729>	culture jamming
<http://www.yso.fi/onto/yso/p4630>	ungerska
<http://www.yso.fi/onto/yso/p1769>	hud
<http://www.yso.fi/onto/yso/p17362>	hansan
<http://www.yso.fi/onto/yso/p790>	cirkuskonster
<http://www.yso.fi/onto/yso/p1183>	koalitioner
<http://www.yso.fi/onto/yso/p108260>	Vähäjärvi (Riihimäki : sjö)
<http://www.yso.fi/onto/yso/p11448>	patriarkat (fadersvälde)
<http://www.yso.fi/onto/yso/p13671>	kulturpolitik
<http://www.yso.fi/onto/yso/p23586>	lag om pension för företagare
<http://www.yso.fi/onto/yso/p4922>	finnvävar
<http://www.yso.fi/onto/yso/p3793>	sötvatten
<http://www.yso.fi/onto/yso/p108994>	Kirkkosaari (Pielavesi)
<http://www.yso.fi/onto/yso/p158729>	Fuengirola
<http://www.yso.fi/onto/yso/p411>	sociala relationer
<http://www.yso.fi/onto/yso/p8188>	kosmisk bakgrundsstrålning
<http://www.yso.fi/onto/yso/p17421>	Åminne gård
<http://www.yso.fi/onto/yso/p110921>	Kätkänjoki (Alavo)
<http://www.yso.fi/onto/yso/p130585>	Kiteenlahti (Kides)
<http://www.yso.fi/onto/yso/p211>	notarius publicus
<http://www.yso.fi/onto/yso/p10374>	handelns organisationer
<http://www.yso.fi/onto/yso/p12165>	sjörätt
<http://www.yso.fi/onto/yso/p211792>	Sorvola (Vittis)
<http://www.yso.fi/onto/yso/p27561>	radikal ortodoxi
<http://www.yso.fi/onto/yso/p28390>	trädgårdsdammar
<http://www.yso.fi/onto/yso/p14409>	slaggämnen
<http://www.yso.fi/onto/yso/p8483>	alliansfria länder
<http://www.yso.fi/onto/yso/p113666>	Halli (Kuorevesi)
<http://www.yso.fi/onto/yso/p3266>	yrkesfiske
<http://www.yso.fi/onto/yso/p24621>	fibrater
<http://www.yso.fi/onto/yso/p108>	rygg
<http://www.yso.fi/onto/yso/p29727>	skärning (textilier)
<http://www.yso.fi/onto/yso/p19444>	ekonomer
<http://www.yso.fi/onto/yso/p15028>	språklärare
<http://www.yso.fi/onto/yso/p11232>	eunucker
<http://www.yso.fi/onto/yso/p25439>	musikredaktörer
<http://www.yso.fi/onto/yso/p11207>	arbetshygien
<http://www.yso.fi/onto/yso/p23922>	skrothandlar
<http://www.yso.fi/onto/yso/p1122>	rinovirus
<http://www.yso.fi/onto/yso/p22994>	partiell sjukdagpenning
<http://www.yso.fi/onto/yso/p7349>	säkerhet och trygghet
<http://www.yso.fi/onto/yso/p166760>	Hoquiam
<http://www.yso.fi/onto/yso/p108771>	Sundom (Vasa)
<http://www.yso.fi/onto/yso/p18787>	MCSD-examen
<http://www.yso.fi/onto/yso/p16334>	krigslitteratur
<http://www.yso.fi/onto/yso/p25310>	orätt
<http://www.yso.fi/onto/yso/p24512>	funktionella kläder
<http://www.yso.fi/onto/yso/p9424>	mellanöra
<http://www.yso.fi/onto/yso/p13650>	inomstatlig rätt
<http://www.yso.fi/onto/yso/p7799>	gulnäckrosväxter
<http://www.yso.fi/onto/yso/p21537>	finlandismer
<http://www.yso.fi/onto/yso/p11857>	skogsskador
<http://www.yso.fi/onto/yso/p105546>	Ruokolax
<http://www.yso.fi/onto/yso/p3933>	nödföda
<http://www.yso.fi/onto/yso/p18003>	kulturella intressen
<http://www.yso.fi/onto/yso/p16785>	sorgmarscher
<http://www.yso.fi/onto/yso/p11409>	lysinurisk proteinintolerans
<http://www.yso.fi/onto/yso/p14905>	berättare
<http://www.yso.fi/onto/yso/p6052>	Kuhmon kamarimusiikki
<http://www.yso.fi/onto/yso/p105198>	Hyrynsalmi
<http://www.yso.fi/onto/yso/p7207>	dinoflagellater
<http://www.yso.fi/onto/yso/p23757>	dagsljuslampor
<http://www.yso.fi/onto/yso/p94401>	Savolax
<http://www.yso.fi/onto/yso/p111923>	Valkojärvi
<http://www.yso.fi/onto/yso/p26616>	fynd
<http://www.yso.fi/onto/yso/p2149>	guidning
<http://www.yso.fi/onto/yso/p11142>	kontaktpersoner
<http://www.yso.fi/onto/yso/p1958>	fibromyalgi
<http://www.yso.fi/onto/yso/p23140>	värdepappersförmedlare
<http://www.yso.fi/onto/yso/p13522>	egeisk konst
<http://www.yso.fi/onto/yso/p29553>	fredstid
<http://www.yso.fi/onto/yso/p23207>	medicinfri vård
<http://www.yso.fi/onto/yso/p108054>	Lentua
<http://www.yso.fi/onto/yso/p25985>	mediekontakter
<http://www.yso.fi/onto/yso/p29946>	urban blues
<http://www.yso.fi/onto/yso/p2841>	folkmusik
<http://www.yso.fi/onto/yso/p1205>	husdjursskötsel (arbete)
<http://www.yso.fi/onto/yso/p29602>	röd mikromossa
<http://www.yso.fi/onto/yso/p18327>	människovärde
<http://www.yso.fi/onto/yso/p195817>	Mourujärvi (Posio)
<http://www.yso.fi/onto/yso/p20822>	seniorlån
<http://www.yso.fi/onto/yso/p8132>	japansk litteratur
<http://www.yso.fi/onto/yso/p4934>	museer
<http://www.yso.fi/onto/yso/p8570>	marimba
<http://www.yso.fi/onto/yso/p19813>	taggsvampar
<http://www.yso.fi/onto/yso/p29366>	Instagram
<http://www.yso.fi/onto/yso/p11339>	skogspolitik
<http://www.yso.fi/onto/yso/p18560>	sethiansk gnosis
<http://www.yso.fi/onto/yso/p18752>	indexkartor
<http://www.yso.fi/onto/yso/p29061>	tulu
<http://www.yso.fi/onto/yso/p1481>	Hamina Tattoo
<http://www.yso.fi/onto/yso/p12585>	spatial perception
<http://www.yso.fi/onto/yso/p14586>	elektroniska id-kort
<http://www.yso.fi/onto/yso/p22807>	slavistik
<http://www.yso.fi/onto/yso/p16283>	ögonvittnen
<http://www.yso.fi/onto/yso/p26028>	vänverksamhet
<http://www.yso.fi/onto/yso/p28126>	humanistiska branscher
<http://www.yso.fi/onto/yso/p22745>	pungräkor
<http://www.yso.fi/onto/yso/p7202>	fysikalisk kemi
<http://www.yso.fi/onto/yso/p124920>	Mielua (Kristina)
<http://www.yso.fi/onto/yso/p107731>	Rapola (Valkeakoski)
<http://www.yso.fi/onto/yso/p144417>	Telkkälä (Mola)
<http://www.yso.fi/onto/yso/p3349>	invalidpensioner
<http://www.yso.fi/onto/yso/p22286>	fibros
<http://www.yso.fi/onto/yso/p15076>	trädgårdsväxter
<http://www.yso.fi/onto/yso/p6674>	barnpjäser
<http://www.yso.fi/onto/yso/p26212>	azerbajdzjanska
<http://www.yso.fi/onto/yso/p1584>	pedagogik (undervisning)
<http://www.yso.fi/onto/yso/p128902>	Nurmela (Säkkijärvi)
<http://www.yso.fi/onto/yso/p13432>	rektion
<http://www.yso.fi/onto/yso/p11470>	plöjning
<http://www.yso.fi/onto/yso/p216997>	Tornio (Savitaipale)
<http://www.yso.fi/onto/yso/p126439>	Salosaari (Ruokolax)
<http://www.yso.fi/onto/yso/p27468>	atomlagerdeposition
<http://www.yso.fi/onto/yso/p21319>	anhängare
<http://www.yso.fi/onto/yso/p14975>	leder
<http://www.yso.fi/onto/yso/p17868>	vindflöjlar
<http://www.yso.fi/onto/yso/p34753>	undertext (litteratur)
<http://www.yso.fi/onto/yso/p109213>	Tonga
<http://www.yso.fi/onto/yso/p148027>	Runosmäki (Åbo)
<http://www.yso.fi/onto/yso/p15468>	serietidningar
<http://www.yso.fi/onto/yso/p20324>	valfrihet
<http://www.yso.fi/onto/yso/p2627>	skriftsystem
<http://www.yso.fi/onto/yso/p18099>	matriser
<http://www.yso.fi/onto/yso/p28292>	fotoakustisk avbildning
<http://www.yso.fi/onto/yso/p16441>	musikforskare
<http://www.yso.fi/onto/yso/p21145>	haltande
<http://www.yso.fi/onto/yso/p4893>	ljussättning
<http://www.yso.fi/onto/yso/p7928>	produktchefer
<http://www.yso.fi/onto/yso/p2987>	åsiktsfångar
<http://www.yso.fi/onto/yso/p28578>	legendsagor
<http://www.yso.fi/onto/yso/p3075>	självantändning
<http://www.yso.fi/onto/yso/p27610>	ISBN
<http://www.yso.fi/onto/yso/p25184>	hemvärn
<http://www.yso.fi/onto/yso/p23894>	ledare (roll)
<http://www.yso.fi/onto/yso/p7871>	elektrofysiologi
<http://www.yso.fi/onto/yso/p28921>	karatjajbalkariska
<http://www.yso.fi/onto/yso/p16634>	törelväxter
<http://www.yso.fi/onto/yso/p22991>	Fle3
<http://www.yso.fi/onto/yso/p15945>	deontisk logik
<http://www.yso.fi/onto/yso/p25075>	grand tour
<http://www.yso.fi/onto/yso/p18387>	Jockis gård
<http://www.yso.fi/onto/yso/p9735>	nattarbete
<http://www.yso.fi/onto/yso/p17198>	biofarmaci
<http://www.yso.fi/onto/yso/p852>	SCARGO
<http://www.yso.fi/onto/yso/p22431>	bouvier des flandres
<http://www.yso.fi/onto/yso/p165170>	Kierikkala (Kymmene)
<http://www.yso.fi/onto/yso/p14320>	räddningsredskap
<http://www.yso.fi/onto/yso/p26471>	studieperioder
<http://www.yso.fi/onto/yso/p18120>	galla
<http://www.yso.fi/onto/yso/p9959>	färgade
<http://www.yso.fi/onto/yso/p21726>	naturskolor
<http://www.yso.fi/onto/yso/p4527>	basbehov
<http://www.yso.fi/onto/yso/p27203>	stenterapi
<http://www.yso.fi/onto/yso/p19088>	snowboardåkning
<http://www.yso.fi/onto/yso/p15727>	vävstolar
<http://www.yso.fi/onto/yso/p20413>	S:t Olofs kloster (Åbo)
<http://www.yso.fi/onto/yso/p1782>	biologi
<http://www.yso.fi/onto/yso/p6684>	industriell ekonomi
<http://www.yso.fi/onto/yso/p17594>	Euratomfördraget
<http://www.yso.fi/onto/yso/p9225>	business intelligence
<http://www.yso.fi/onto/yso/p25692>	living lab-verksamhet
<http://www.yso.fi/onto/yso/p37479>	litteratur på tigre
<http://www.yso.fi/onto/yso/p110275>	Pitkälahti (Anttola)
<http://www.yso.fi/onto/yso/p27690>	nåldynor
<http://www.yso.fi/onto/yso/p9949>	penningpolitik
<http://www.yso.fi/onto/yso/p3480>	inkomstfördelning
<http://www.yso.fi/onto/yso/p21833>	utlämnande av uppgifter
<http://www.yso.fi/onto/yso/p996>	försäljare
<http://www.yso.fi/onto/yso/p22157>	Lapuan yöjuoksu
<http://www.yso.fi/onto/yso/p23175>	tv-filmer
<http://www.yso.fi/onto/yso/p9664>	kungar
<http://www.yso.fi/onto/yso/p29877>	tv-musik
<http://www.yso.fi/onto/yso/p4135>	mikroskop
<http://www.yso.fi/onto/yso/p14806>	rekvisita
<http://www.yso.fi/onto/yso/p11504>	rotbehandling
<http://www.yso.fi/onto/yso/p29506>	skäppor
<http://www.yso.fi/onto/yso/p1422>	köttproduktion
<http://www.yso.fi/onto/yso/p13463>	arbetsplatser
<http://www.yso.fi/onto/yso/p109074>	Norrnäs (Närpes)
<http://www.yso.fi/onto/yso/p3262>	flis
<http://www.yso.fi/onto/yso/p111216>	Edessalo (Jämsä)
<http://www.yso.fi/onto/yso/p208736>	Islamabad
<http://www.yso.fi/onto/yso/p25424>	ledbrosk
<http://www.yso.fi/onto/yso/p3812>	kork
<http://www.yso.fi/onto/yso/p28984>	hem (ämnen)
<http://www.yso.fi/onto/yso/p3116>	självmordsattacker
<http://www.yso.fi/onto/yso/p18578>	sik
<http://www.yso.fi/onto/yso/p8991>	kartprojektioner
<http://www.yso.fi/onto/yso/p23017>	påtryckning
<http://www.yso.fi/onto/yso/p111738>	Viiala (Anjalankoski)
<http://www.yso.fi/onto/yso/p2674>	marknadsrätt
<http://www.yso.fi/onto/yso/p12948>	cement
<http://www.yso.fi/onto/yso/p25827>	vinprovning
<http://www.yso.fi/onto/yso/p112449>	Kangasjärvi (Södra Savolax)
<http://www.yso.fi/onto/yso/p14687>	självförsörjning
<http://www.yso.fi/onto/yso/p29256>	Grundtvig (utbildningsprogram)
<http://www.yso.fi/onto/yso/p27630>	Uukuniemivirus
<http://www.yso.fi/onto/yso/p108405>	Kurki (Virdois)
<http://www.yso.fi/onto/yso/p26464>	sexuell olust
<http://www.yso.fi/onto/yso/p5859>	samhällen
<http://www.yso.fi/onto/yso/p3192>	domar
<http://www.yso.fi/onto/yso/p7594>	förfaranden
<http://www.yso.fi/onto/yso/p30112>	synkopering
<http://www.yso.fi/onto/yso/p10195>	undfallenhetsriktningen
<http://www.yso.fi/onto/yso/p17779>	bokklubbar
<http://www.yso.fi/onto/yso/p29696>	hexameter
<http://www.yso.fi/onto/yso/p19043>	vårdrelaterade infektioner
<http://www.yso.fi/onto/yso/p12387>	borgmästare
<http://www.yso.fi/onto/yso/p23883>	psykokinesi
<http://www.yso.fi/onto/yso/p7574>	anfäderskult
<http://www.yso.fi/onto/yso/p25803>	djurförsöksfria metoder
<http://www.yso.fi/onto/yso/p108979>	Sockenbacka (Helsingfors)
<http://www.yso.fi/onto/yso/p9839>	kommersialisering (process)
<http://www.yso.fi/onto/yso/p24382>	fettvävnader
<http://www.yso.fi/onto/yso/p25398>	privatsamlingar
<http://www.yso.fi/onto/yso/p629>	livet efter döden
<http://www.yso.fi/onto/yso/p26684>	Suontaka gård
<http://www.yso.fi/onto/yso/p23957>	fältskärer
<http://www.yso.fi/onto/yso/p21252>	aktivitetsbaserat ledarskap
<http://www.yso.fi/onto/yso/p94271>	Lojo
<http://www.yso.fi/onto/yso/p19644>	ha (språk)
<http://www.yso.fi/onto/yso/p21438>	klövar
<http://www.yso.fi/onto/yso/p2069>	tv-fostran
<http://www.yso.fi/onto/yso/p16748>	krokodiler
<http://www.yso.fi/onto/yso/p196506>	Hannila (S:t Andree)
<http://www.yso.fi/onto/yso/p21553>	tänkandets lagar
<http://www.yso.fi/onto/yso/p131110>	Immalanjärvi (Imatra)
<http://www.yso.fi/onto/yso/p1696>	totalvägran
<http://www.yso.fi/onto/yso/p105060>	Eno
<http://www.yso.fi/onto/yso/p7260>	det onda
<http://www.yso.fi/onto/yso/p27218>	mikroRNA
<http://www.yso.fi/onto/yso/p23566>	ficklampor
<http://www.yso.fi/onto/yso/p3836>	dekolonisation
<http://www.yso.fi/onto/yso/p212377>	Ugarit
<http://www.yso.fi/onto/yso/p3504>	skämtgåtor
<http://www.yso.fi/onto/yso/p16625>	rågbröd
<http://www.yso.fi/onto/yso/p12159>	bananflugor
<http://www.yso.fi/onto/yso/p14707>	folklivsskildring
<http://www.yso.fi/onto/yso/p26168>	polyamori
<http://www.yso.fi/onto/yso/p446>	vänsterpartier
<http://www.yso.fi/onto/yso/p3413>	träningsredskap
<http://www.yso.fi/onto/yso/p105709>	San Marino
<http://www.yso.fi/onto/yso/p10834>	thaispråk
<http://www.yso.fi/onto/yso/p94277>	Lovisa
<http://www.yso.fi/onto/yso/p217568>	Vaajakoski
<http://www.yso.fi/onto/yso/p107592>	Serbien
<http://www.yso.fi/onto/yso/p105395>	Vesikansa (Vichtis)
<http://www.yso.fi/onto/yso/p14148>	figurer
<http://www.yso.fi/onto/yso/p38077>	Aarnikotka skogs naturskyddsområde
<http://www.yso.fi/onto/yso/p3337>	marknadsdominans
<http://www.yso.fi/onto/yso/p21451>	frigivna fångar
<http://www.yso.fi/onto/yso/p901>	fiskar (djur)
<http://www.yso.fi/onto/yso/p23943>	moderering
<http://www.yso.fi/onto/yso/p16253>	högrenässansen
<http://www.yso.fi/onto/yso/p24635>	jordlegolag
<http://www.yso.fi/onto/yso/p105857>	Viitalahti (Heinävesi)
<http://www.yso.fi/onto/yso/p23195>	arbetsinsats
<http://www.yso.fi/onto/yso/p3771>	ombud
<http://www.yso.fi/onto/yso/p13263>	självständighet (stater)
<http://www.yso.fi/onto/yso/p3106>	bombplan
<http://www.yso.fi/onto/yso/p16799>	gränsbevakare
<http://www.yso.fi/onto/yso/p4374>	praktisk filosofi
<http://www.yso.fi/onto/yso/p15265>	bondeseglation
<http://www.yso.fi/onto/yso/p5988>	må bra-turism
<http://www.yso.fi/onto/yso/p29037>	punktbelastning
<http://www.yso.fi/onto/yso/p110394>	Liepaja
<http://www.yso.fi/onto/yso/p146544>	Puhoskylä (Pudasjärvi)
<http://www.yso.fi/onto/yso/p19107>	juvenil artrit
<http://www.yso.fi/onto/yso/p196785>	Suontientaipale (Pieksämäki)
<http://www.yso.fi/onto/yso/p126700>	Taipaleenjärvi
<http://www.yso.fi/onto/yso/p162371>	Vattajanniemi
<http://www.yso.fi/onto/yso/p24305>	teanin
<http://www.yso.fi/onto/yso/p18887>	skatteavtal
<http://www.yso.fi/onto/yso/p3644>	högteknologi
<http://www.yso.fi/onto/yso/p14754>	republik (statsskick)
<http://www.yso.fi/onto/yso/p17447>	mo
<http://www.yso.fi/onto/yso/p24894>	konstpsykoterapi
<http://www.yso.fi/onto/yso/p17707>	stämpling
<http://www.yso.fi/onto/yso/p20608>	läderlappslav
<http://www.yso.fi/onto/yso/p21197>	e-förvaltning
<http://www.yso.fi/onto/yso/p29060>	nougat
<http://www.yso.fi/onto/yso/p16321>	disciplinärt förfarande
<http://www.yso.fi/onto/yso/p4809>	monotypi
<http://www.yso.fi/onto/yso/p105016>	Pernå
<http://www.yso.fi/onto/yso/p28291>	alkalinitet
<http://www.yso.fi/onto/yso/p5207>	fredsforskning
<http://www.yso.fi/onto/yso/p8002>	apacher
<http://www.yso.fi/onto/yso/p16059>	släktromaner
<http://www.yso.fi/onto/yso/p11571>	arbetslöshet
<http://www.yso.fi/onto/yso/p8264>	taligenkänning
<http://www.yso.fi/onto/yso/p13113>	kvartärperioden
<http://www.yso.fi/onto/yso/p6291>	nyfascism
<http://www.yso.fi/onto/yso/p17943>	sedimentering (separeringsmetod)
<http://www.yso.fi/onto/yso/p12183>	nationalprodukt
<http://www.yso.fi/onto/yso/p17767>	trafikförsäkring
<http://www.yso.fi/onto/yso/p196251>	Tanaälvens avrinningsområde
<http://www.yso.fi/onto/yso/p13997>	bostadsbidrag
<http://www.yso.fi/onto/yso/p8204>	mellanmål
<http://www.yso.fi/onto/yso/p113009>	Söderskär
<http://www.yso.fi/onto/yso/p23448>	immateriella investeringar
<http://www.yso.fi/onto/yso/p11015>	mängdteori
<http://www.yso.fi/onto/yso/p118232>	Kaukjärvi (Nykyrka)
<http://www.yso.fi/onto/yso/p11968>	navelsvin
<http://www.yso.fi/onto/yso/p14167>	stråkharpa
<http://www.yso.fi/onto/yso/p25502>	genreteori
<http://www.yso.fi/onto/yso/p38195>	fornöstslaviska
<http://www.yso.fi/onto/yso/p11248>	heliga skrifter
<http://www.yso.fi/onto/yso/p1701>	digitaltryck
<http://www.yso.fi/onto/yso/p8017>	självständigt arbete
<http://www.yso.fi/onto/yso/p14080>	näringsvärde
<http://www.yso.fi/onto/yso/p19691>	biskopsmöten
<http://www.yso.fi/onto/yso/p24481>	nyzeeländsk tusensnäcka
<http://www.yso.fi/onto/yso/p28856>	goal attainment scaling
<http://www.yso.fi/onto/yso/p22481>	trafikbranschen
<http://www.yso.fi/onto/yso/p6263>	bilaffärer
<http://www.yso.fi/onto/yso/p7454>	filter
<http://www.yso.fi/onto/yso/p9671>	blöjor
<http://www.yso.fi/onto/yso/p195416>	Phuket
<http://www.yso.fi/onto/yso/p27074>	oskuld
<http://www.yso.fi/onto/yso/p14801>	gödselstäder
<http://www.yso.fi/onto/yso/p110381>	Koskenpää
<http://www.yso.fi/onto/yso/p113792>	Tyvijoki
<http://www.yso.fi/onto/yso/p12702>	kvarts
<http://www.yso.fi/onto/yso/p21706>	ponchor
<http://www.yso.fi/onto/yso/p21022>	stängning
<http://www.yso.fi/onto/yso/p17246>	konditionstest
<http://www.yso.fi/onto/yso/p23954>	Sääksmäki kyrka
<http://www.yso.fi/onto/yso/p2855>	zoner definierade genom människans aktivitet
<http://www.yso.fi/onto/yso/p8775>	intressegrupper
<http://www.yso.fi/onto/yso/p105241>	Salmis
<http://www.yso.fi/onto/yso/p25601>	kleiner münsterländer
<http://www.yso.fi/onto/yso/p167668>	Vekkula (Jämsä)
<http://www.yso.fi/onto/yso/p105591>	Kivioja (Tervola)
<http://www.yso.fi/onto/yso/p7474>	träprodukter
<http://www.yso.fi/onto/yso/p118619>	Riksväg 18
<http://www.yso.fi/onto/yso/p25011>	sårbarhet
<http://www.yso.fi/onto/yso/p1451>	synen
<http://www.yso.fi/onto/yso/p109309>	Jaatila (Rovaniemi)
<http://www.yso.fi/onto/yso/p9419>	bokväxter
<http://www.yso.fi/onto/yso/p123966>	Lestijoki vattendrag
<http://www.yso.fi/onto/yso/p15231>	innehav
<http://www.yso.fi/onto/yso/p6921>	centrifugering
<http://www.yso.fi/onto/yso/p17415>	mambor (kompositioner)
<http://www.yso.fi/onto/yso/p20138>	processkonst
<http://www.yso.fi/onto/yso/p15225>	säkerhetsåtgärder
<http://www.yso.fi/onto/yso/p475>	yrkespedagogik
<http://www.yso.fi/onto/yso/p6202>	nationalstadsparker
<http://www.yso.fi/onto/yso/p12056>	romanispråkiga
<http://www.yso.fi/onto/yso/p16839>	boxare
<http://www.yso.fi/onto/yso/p105623>	Kempele
<http://www.yso.fi/onto/yso/p180387>	Dolomiterna
<http://www.yso.fi/onto/yso/p6969>	svarstid
<http://www.yso.fi/onto/yso/p19244>	CBCL
<http://www.yso.fi/onto/yso/p29677>	quiché (folk)
<http://www.yso.fi/onto/yso/p18781>	kontingensteori
<http://www.yso.fi/onto/yso/p5548>	grundtrygghet (mentala egenskaper)
<http://www.yso.fi/onto/yso/p22378>	evigheten
<http://www.yso.fi/onto/yso/p3592>	klinisk undersökning (medicinska åtgärder)
<http://www.yso.fi/onto/yso/p13475>	operationsanalys
<http://www.yso.fi/onto/yso/p5550>	terrängtrafik
<http://www.yso.fi/onto/yso/p25248>	gemenskapsanda
<http://www.yso.fi/onto/yso/p10008>	ornamentik (dekorativ konst)
<http://www.yso.fi/onto/yso/p20251>	skoindustri
<http://www.yso.fi/onto/yso/p2305>	mögellunga
<http://www.yso.fi/onto/yso/p110371>	Kuivasjärvi (Uleåborg : by)
<http://www.yso.fi/onto/yso/p4986>	dialektkartor
<http://www.yso.fi/onto/yso/p19254>	korsstygnsarbeten
